    tt    m             px                      py                      pz                      vx                      vy                      vz
 -1500.0  0   1.2016073090903787e-03  2.2838205661511440e-03  1.1069218644977643e-03 -9.0890670313128717e-03  3.9316823743387281e-03  1.7328058941303557e-03
 -1500.0  1   1.4921437313659609e-03  3.8551007931550705e-03  1.8475960658017217e-03 -7.4194420344698081e-03  2.4152630193928293e-03  9.7022739414485330e-04
 -1500.0  2   6.8653076394233660e-03 -1.8383993346474672e-03 -7.9648660704177373e-04  1.7651587639260049e-03  5.4376472418913354e-03  2.6165720013411856e-03
 -1500.0  3  -6.9363363746061720e-03  9.5980882295423810e-03  4.4418036107809313e-03 -3.9562572768955260e-03 -2.2953193804763693e-03 -1.1436383844637596e-03
 -1400.0  0  -8.1576126385501046e-04 -2.4347056417344496e-03 -1.1732288166436378e-03  9.5833142841703061e-03 -2.6322662262132281e-03 -1.1064991880139386e-03
 -1400.0  1  -2.6970949492444666e-03  3.2388238463154271e-03  1.4631044276900908e-03 -6.3174036208635534e-03 -4.3560846501358112e-03 -2.1880199279722002e-03
 -1400.0  2   6.5044785531500554e-03 -2.6994509660266653e-03 -1.2117558904957170e-03  2.6116149636263688e-03  5.1538508960465180e-03  2.4914968721357266e-03
 -1400.0  3  -6.3978491784042633e-03  9.8933407665890583e-03  4.5891610802937426e-03 -4.0801954399225784e-03 -2.1132751329257437e-03 -1.0593759646666812e-03
 -1300.0  0   3.5650437933904211e-04  2.5317586672467152e-03  1.2128586725441708e-03 -9.8929307659243668e-03  1.2103536596055936e-03  4.2369692896571006e-04
 -1300.0  1  -4.4455127052666701e-03 -4.3073684952587660e-04 -2.9909512855282576e-04  8.4646291103350512e-04 -7.1649108560429900e-03 -3.3471227863849629e-03
 -1300.0  2   6.0154507485783047e-03 -3.5061890196326851e-03 -1.6027151999939775e-03  3.4034344995852311e-03  4.7605674436089068e-03  2.3135995478711828e-03
 -1300.0  3  -5.8431760084126276e-03  1.0164061058177120e-02  4.7252426661769688e-03 -4.1956439529172137e-03 -1.9251979343332709e-03 -9.7213278714368997e-04
 -1200.0  0   9.0672900686006221e-05 -2.5381387456698237e-03 -1.2092949926269798e-03  1.0030525133998745e-02  1.9966813068722728e-04  2.5158768357088463e-04
 -1200.0  1  -2.0771855076691602e-03 -3.6197338606783376e-03 -1.7435480402480587e-03  7.0066527440459702e-03 -3.3025660406382656e-03 -1.4003404085930881e-03
 -1200.0  2   5.4020148093878390e-03 -4.2486612802649952e-03 -1.9645930952850782e-03  4.1278414555783955e-03  4.2646794423783774e-03  2.0858195773418376e-03
 -1200.0  3  -5.2737058101319737e-03  1.0408796232427247e-02  4.8493288237766927e-03 -4.2988419488916782e-03 -1.7321331127491831e-03 -8.8233564744713382e-04
 -1100.0  0  -4.8977796660278983e-04  2.5007011540069050e-03  1.1855222773452458e-03 -9.8849879509771716e-03 -1.5439859638205415e-03 -8.9163996123676581e-04
 -1100.0  1   2.2380453609861569e-03 -3.4962409675752485e-03 -1.5926776413474129e-03  6.9034346378269284e-03  3.6145879946552673e-03  1.8404538075168584e-03
 -1100.0  2   4.6702552560710167e-03 -4.9069841260404000e-03 -2.2879250452288746e-03  4.7653829308985408e-03  3.6797563704640056e-03  1.8144960858654372e-03
 -1100.0  3  -4.6909070190133094e-03  1.0627895285572481e-02  4.9615391153055481e-03 -4.3933597964041738e-03 -1.5344853962126373e-03 -7.9021665320742397e-04
 -1000.0  0   9.1734686589117309e-04 -2.4197646444747388e-03 -1.1403072048472771e-03  9.4326708170380316e-03  2.8883182388048561e-03  1.5275710945439750e-03
 -1000.0  1   4.5002225419983662e-03 -1.0913512107744618e-04  4.1428251038459101e-05  2.1242402616719524e-04  7.1569234684292085e-03  3.3587309268931871e-03
 -1000.0  2   3.8367523528123997e-03 -5.4589747684984594e-03 -2.5617259496898428e-03  5.3085656564574035e-03  3.0222907977319629e-03  1.5073554345587663e-03
 -1000.0  3  -4.0960758651130778e-03  1.0819849477046522e-02  5.0611057409075642e-03 -4.4752743906831538e-03 -1.3325245527159356e-03 -6.9583861627965865e-04
